Unnamed: 0,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
579,flat,piedmont taksila heights,sector 37c,0.9,5856.0,3.0,3.0,3,9.0,Moderately Old,1537.0,0.0,0.0,0.0,0.0,0.0,2.0,94.0,"28.4515° N, 76.9882° E",28.4515,76.9882
580,flat,experion windchants,sector 112,3.4,12134.0,3.0,3.0,2,14.0,Relatively New,2225.56,0.0,0.0,0.0,0.0,0.0,2.0,159.0,"28.5189° N, 77.0183° E",28.5189,77.0183
581,flat,m3m sierra 68,sector 68,1.25,10246.0,2.0,2.0,3,4.0,New Property,938.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,"28.3853° N, 77.0484° E",28.3853,77.0484
582,house,ansals palam vihar,sector 2,5.0,12500.0,6.0,4.0,0,3.0,Moderately Old,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.5095° N, 77.0320° E",28.5095,77.032
583,flat,corona optus,sector 37c,1.43,7186.0,3.0,3.0,3+,2.0,Relatively New,1834.0,0.0,1.0,0.0,0.0,1.0,0.0,49.0,"28.4515° N, 76.9882° E",28.4515,76.9882
584,house,independent,sector 4,2.35,16319.0,4.0,4.0,2,2.0,Old Property,1440.0,0.0,0.0,0.0,1.0,0.0,0.0,43.0,"28.4738° N, 77.0107° E",28.4738,77.0107
586,house,independent,sector 11,0.44,4251.0,3.0,2.0,1,1.0,Relatively New,128.0,0.0,0.0,0.0,1.0,1.0,0.0,46.0,"28.4531° N, 77.0202° E",28.4531,77.0202
587,house,independent,sector 45,10.0,30864.0,6.0,6.0,3+,4.0,Moderately Old,3240.0,1.0,1.0,1.0,1.0,0.0,2.0,70.0,"28.4466° N, 77.0660° E",28.4466,77.066
588,flat,paras dews,sector 106,1.32,5605.0,4.0,5.0,3+,11.0,Relatively New,1535.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0,"28.5007° N, 77.0003° E",28.5007,77.0003
589,flat,sare homes,sector 92,0.65,4587.0,3.0,3.0,2,3.0,Relatively New,1574.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,"28.4079° N, 76.9153° E",28.4079,76.9153
590,flat,bestech park view sanskruti,sector 92,2.0,8333.0,4.0,5.0,3+,12.0,Relatively New,2453.0,0.0,1.0,0.0,0.0,0.0,2.0,60.0,"28.4079° N, 76.9153° E",28.4079,76.9153
591,flat,dlf the primus,sector 82a,2.2,10516.0,3.0,3.0,3+,16.0,Relatively New,1893.0,0.0,1.0,0.0,0.0,0.0,1.0,174.0,"28.3858° N, 76.9686° E",28.3858,76.9686
592,house,sushant lok 1 builder floors,sector 43,13.0,48148.0,3.0,3.0,3+,4.0,New Property,2700.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,"28.4629° N, 77.0772° E",28.4629,77.0772
593,flat,bestech park view ananda,sector 81,1.45,8735.0,3.0,2.0,3+,3.0,Relatively New,1352.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0,"28.3867° N, 76.9485° E",28.3867,76.9485
594,flat,sare homes,sector 92,0.56,4730.0,3.0,1.0,3,1.0,Moderately Old,1316.0,0.0,0.0,0.0,0.0,0.0,2.0,75.0,"28.4079° N, 76.9153° E",28.4079,76.9153
595,flat,mapsko casa bella,sector 82,1.25,6378.0,3.0,4.0,3+,8.0,Under Construction,1774.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,"28.3935° N, 76.9600° E",28.3935,76.96
596,house,unitech aspen greens,sector 50,12.0,37037.0,3.0,4.0,2,1.0,Moderately Old,3240.0,1.0,1.0,0.0,0.0,0.0,2.0,101.0,"28.4178° N, 77.0628° E",28.4178,77.0628
598,flat,tulip violet,sector 69,1.72,8731.0,4.0,4.0,1,12.0,Relatively New,1783.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,"28.3966° N, 77.0341° E",28.3966,77.0341
599,house,unitech deerwood chase,sector 50,15.0,33333.0,4.0,4.0,2,2.0,Moderately Old,4500.0,0.0,1.0,0.0,0.0,0.0,0.0,160.0,"28.4178° N, 77.0628° E",28.4178,77.0628
